status	key	command
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Precomposition	Backspace	Revert
Composition	Ctrl @	ConvertToHalfAlphanumeric
Conversion	Ctrl @	ConvertToHalfAlphanumeric
Precomposition	Ctrl Backspace	Undo
Prediction	Ctrl Delete	DeleteSelectedCandidate
Prediction	Ctrl Down	ConvertNext
Suggestion	Ctrl Down	PredictAndConvert
Suggestion	Ctrl Enter	CommitFirstSuggestion
Precomposition	Ctrl F12	LaunchConfigDialog
Precomposition	Ctrl F7	LaunchWordRegisterDialog
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Conversion	Ctrl Shift Left	SegmentWidthShrink
Conversion	Ctrl Shift Right	SegmentWidthExpand
Composition	Ctrl Space	Convert
Conversion	Ctrl Space	ConvertNext
Prediction	Ctrl Up	ConvertPrev
Composition	Ctrl [	Cancel
Conversion	Ctrl [	Cancel
Composition	Ctrl g	Delete
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	ConvertToFullKatakana
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl l	SegmentWidthExpand
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Ctrl n	Commit
Conversion	Ctrl n	CommitOnlyFirstSegment
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Composition	Delete	Delete
Composition	Down	Commit
Conversion	Down	CommitOnlyFirstSegment
Prediction	Down	ConvertNext
Suggestion	Down	PredictAndConvert
Composition	ESC	Cancel
Conversion	ESC	Cancel
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Precomposition	Eisu	ToggleAlphanumericMode
Composition	Enter	Commit
Conversion	Enter	Commit
Conversion	F1	ReportBug
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Precomposition	F10	ToggleAlphanumericMode
Composition	F2	ConvertWithoutHistory
Conversion	F3	ReportBug
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	Henkan	Convert
Conversion	Henkan	ConvertNextPage
DirectInput	Henkan	IMEOn
Composition	Hiragana	Convert
Conversion	Hiragana	ConvertNextPage
DirectInput	Hiragana	IMEOn
Conversion	Insert	Cancel
Composition	Kana	Convert
Conversion	Kana	ConvertNextPage
DirectInput	Kana	IMEOn
Composition	Kanji	CancelAndIMEOff
Conversion	Kanji	CancelAndIMEOff
Precomposition	Kanji	CancelAndIMEOff
DirectInput	Kanji	IMEOn
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentWidthShrink
Precomposition	Muhenkan	CancelAndIMEOff
Composition	Muhenkan	CancelAndIMEOff
Conversion	Muhenkan	CancelAndIMEOff
DirectInput	Muhenkan	CancelAndIMEOff
Prediction	Muhenkan	CancelAndIMEOff
Suggestion	Muhenkan	CancelAndIMEOff
Composition	OFF	CancelAndIMEOff
Conversion	OFF	CancelAndIMEOff
Precomposition	OFF	CancelAndIMEOff
Composition	ON	IMEOn
Conversion	ON	IMEOn
DirectInput	ON	IMEOn
Precomposition	ON	IMEOn
Composition	Right	MoveCursorRight
Conversion	Right	SegmentWidthExpand
Suggestion	Shift Enter	CommitFirstSuggestion
Composition	Shift Henkan	Convert
Conversion	Shift Henkan	ConvertPrevPage
DirectInput	Shift Henkan	Reconvert
Precomposition	Shift Henkan	Reconvert
Conversion	Shift Left	SegmentFocusLeft
Composition	Shift Muhenkan	ToggleAlphanumericMode
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Conversion	Shift Right	SegmentFocusRight
Composition	Shift Space	Convert
Conversion	Shift Space	ConvertNext
Precomposition	Shift Space	InsertAlternateSpace
Conversion	Shift Tab	ConvertPrev
Composition	Space	Convert
Conversion	Space	ConvertNext
Precomposition	Space	InsertSpace
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Prediction	Up	ConvertPrev
Composition	VirtualEnter	Commit
Conversion	VirtualEnter	CommitOnlyFirstSegment
Composition	VirtualLeft	MoveCursorLeft
Conversion	VirtualLeft	SegmentWidthShrink
Composition	VirtualRight	MoveCursorRight
Conversion	VirtualRight	SegmentWidthExpand
